时间	收盘价	开盘价	最高价	最低价	涨跌幅	涨跌额	成交量	成交额	振幅	换手率
2023-05-30	2535.14	2546.17	2553.95	2508.29	-0.52	-13.15	31874037	54485696512	1.79	0.26
2023-05-29	2548.29	2565.59	2566.83	2537.00	-0.44	-11.32	29439821	50638253492.00	1.17	0.24
2023-05-26	2559.61	2562.55	2569.23	2536.26	-0.19	-4.89	24048616	42981691427.00	1.29	0.20
2023-05-25	2564.50	2567.45	2572.19	2544.27	-0.50	-12.84	31772049	51886473422.00	1.08	0.26
2023-05-24	2577.34	2615.57	2615.57	2576.83	-1.54	-40.20	36912434	56122423125.00	1.48	0.30
2023-05-23	2617.54	2657.92	2662.39	2617.54	-1.55	-41.25	30513962	50037096912.00	1.69	0.25
2023-05-22	2658.79	2630.11	2669.23	2628.76	0.96	25.40	28098533	55198914724.00	1.54	0.23
2023-05-19	2633.39	2632.59	2649.69	2614.96	-0.41	-10.83	29813860	51202780896.00	1.31	0.24
2023-05-18	2644.22	2653.01	2665.28	2634.61	-0.19	-5.14	31967361	48796865060.00	1.16	0.26
2023-05-17	2649.36	2666.04	2673.02	2642.63	-0.79	-21.09	26249927	47819960946.00	1.14	0.21
2023-05-16	2670.45	2681.39	2685.58	2661.95	-0.25	-6.59	33879998	57784756971.00	0.88	0.28
2023-05-15	2677.04	2628.46	2677.26	2619.56	1.75	46.09	44553216	67150859705.00	2.19	0.36
2023-05-12	2630.95	2662.80	2668.88	2630.29	-1.32	-35.11	34912863	56724792987.00	1.45	0.28
2023-05-11	2666.06	2682.38	2688.69	2663.54	-0.29	-7.85	32992010	54214783130.00	0.94	0.27
2023-05-10	2673.91	2698.77	2706.20	2669.73	-1.11	-30.03	54524777	76887282421.00	1.35	0.44
2023-05-09	2703.94	2723.19	2751.44	2702.77	-0.60	-16.38	68807967	104858706975.00	1.79	0.56
2023-05-08	2720.32	2694.57	2727.73	2685.52	1.31	35.15	63882547	94656572711.00	1.57	0.52
2023-05-05	2685.17	2698.59	2706.33	2672.03	-0.28	-7.52	46797694	75424995923.00	1.27	0.38
2023-05-04	2692.69	2663.45	2696.59	2654.23	0.56	14.93	54055929	88583481681.00	1.58	0.44
2023-04-28	2677.76	2653.14	2683.47	2653.14	1.03	27.19	40548779	82332978554.00	1.14	0.33
2023-04-27	2650.57	2618.46	2658.78	2612.92	1.24	32.59	36174826	74638147867.00	1.75	0.29
2023-04-26	2617.98	2614.96	2627.58	2605.18	-0.05	-1.25	36961348	64329820445.00	0.86	0.30
2023-04-25	2619.23	2621.02	2629.73	2596.56	0.03	0.75	39516242	67135749460.00	1.27	0.32
2023-04-24	2618.48	2655.08	2656.67	2611.38	-1.35	-35.73	37410502	67028083974.00	1.71	0.31
2023-04-21	2654.21	2703.40	2703.40	2652.26	-1.87	-50.65	37325688	69157559710.00	1.89	0.30
2023-04-20	2704.86	2718.24	2721.20	2693.26	-0.58	-15.86	35867167	65781603356.00	1.03	0.29
2023-04-19	2720.72	2746.06	2746.06	2716.75	-0.86	-23.73	32903094	62163506624.00	1.07	0.27
2023-04-18	2744.45	2724.49	2753.81	2722.61	0.42	11.48	39615955	75979082504.00	1.14	0.32
2023-04-17	2732.97	2680.63	2732.97	2678.14	2.01	53.96	45366139	84844709067.00	2.05	0.37
2023-04-14	2679.01	2679.13	2692.46	2668.81	0.34	9.00	30896338	67304123994.00	0.89	0.25
2023-04-13	2670.01	2659.94	2675.00	2652.96	0.16	4.24	36099587	69859214876.00	0.83	0.29
2023-04-12	2665.77	2684.05	2684.44	2663.20	-0.53	-14.27	34962726	71006118018.00	0.79	0.29
2023-04-11	2680.04	2690.63	2694.32	2671.95	-0.18	-4.87	34114834	70196813749.00	0.83	0.28
2023-04-10	2684.91	2690.43	2690.43	2671.52	0.00	0.05	32266430	69540603031.00	0.70	0.26
2023-04-07	2684.86	2667.14	2692.51	2663.61	0.69	18.41	24161042	55779749487.00	1.08	0.20
2023-04-06	2666.45	2668.13	2672.72	2659.91	-0.35	-9.47	29605541	58470388254.00	0.48	0.24
2023-04-04	2675.92	2668.40	2676.06	2657.86	0.38	10.20	39497343	70301301531.00	0.68	0.32
2023-04-03	2665.72	2667.18	2673.66	2655.07	0.14	3.80	35269835	68174474904.00	0.70	0.29
2023-03-31	2661.92	2670.95	2681.82	2657.77	-0.09	-2.29	28888859	56414431747.00	0.90	0.24
2023-03-30	2664.21	2639.36	2665.34	2628.10	1.06	27.99	33612471	59176791713.00	1.41	0.27
2023-03-29	2636.22	2655.41	2658.13	2632.84	-0.10	-2.52	26888679	47430708932.00	0.96	0.22
2023-03-28	2638.74	2646.98	2653.57	2633.92	-0.03	-0.88	27215781	47612516053.00	0.74	0.22
2023-03-27	2639.62	2652.79	2652.79	2626.58	-0.52	-13.67	34045359	56455183677.00	0.99	0.28
2023-03-24	2653.29	2664.53	2664.53	2648.34	-0.58	-15.38	30711612	53508170882.00	0.61	0.25
2023-03-23	2668.67	2641.82	2668.67	2641.07	0.65	17.14	28767182	53563266211.00	1.04	0.23
2023-03-22	2651.53	2652.71	2666.70	2643.12	0.31	8.17	26143513	48176487986.00	0.89	0.21
2023-03-21	2643.36	2623.58	2648.05	2622.85	1.02	26.61	31161690	53834171809.00	0.96	0.25
2023-03-20	2616.75	2632.25	2644.83	2614.28	-0.45	-11.84	42916078	62406257915.00	1.16	0.35
2023-03-17	2628.59	2644.95	2672.29	2620.43	0.22	5.77	43717732	68652979539.00	1.98	0.36
2023-03-16	2622.82	2627.04	2647.53	2621.72	-0.97	-25.57	39478516	57371205148.00	0.97	0.32
2023-03-15	2648.39	2666.94	2674.08	2647.96	0.12	3.28	33345926	49841531099.00	0.99	0.27
2023-03-14	2645.11	2658.28	2658.28	2627.00	-0.71	-18.93	33042266	54832229454.00	1.17	0.27
2023-03-13	2664.04	2637.82	2672.01	2637.71	1.05	27.65	34164329	53757120805.00	1.30	0.28
2023-03-10	2636.39	2648.81	2667.96	2636.01	-1.33	-35.45	28778692	47519703177.00	1.20	0.23
2023-03-09	2671.84	2694.15	2697.25	2660.62	-0.75	-20.09	27251214	47063041503.00	1.36	0.22
2023-03-08	2691.93	2698.59	2699.88	2679.17	-0.78	-21.24	29539308	47688685083.00	0.76	0.24
2023-03-07	2713.17	2741.79	2761.35	2711.25	-1.13	-30.97	55146111	73443730822.00	1.83	0.45
2023-03-06	2744.14	2773.27	2774.00	2734.96	-1.09	-30.37	38301675	67238922936.00	1.41	0.31
2023-03-03	2774.51	2778.89	2784.13	2757.69	0.20	5.40	40428992	53308630783.00	0.95	0.33
2023-03-02	2769.11	2766.08	2782.79	2762.11	-0.16	-4.54	33747752	52817037672.00	0.75	0.28
2023-03-01	2773.65	2736.05	2783.32	2729.80	1.33	36.50	35893952	59859898942.00	1.96	0.29
2023-02-28	2737.15	2730.52	2740.22	2703.26	0.50	13.57	24170896	45601510423.00	1.36	0.20
2023-02-27	2723.58	2713.43	2738.12	2712.79	-0.15	-4.01	22288276	44925779261.00	0.93	0.18
2023-02-24	2727.59	2762.79	2764.65	2722.18	-1.44	-39.95	25062085	49608201967.00	1.53	0.20
2023-02-23	2767.54	2770.72	2790.89	2757.49	-0.06	-1.80	23120961	49463966830.00	1.21	0.19
2023-02-22	2769.34	2786.72	2795.24	2766.36	-1.17	-32.80	21310123	45344054801.00	1.03	0.17
2023-02-21	2802.14	2785.99	2805.71	2779.18	0.49	13.74	35587226	63800608940.00	0.95	0.29
2023-02-20	2788.40	2720.05	2790.98	2717.50	2.73	74.11	38545666	70567258808.00	2.71	0.31
2023-02-17	2714.29	2737.01	2759.52	2712.50	-1.04	-28.51	27014083	52873770382.00	1.71	0.22
2023-02-16	2742.80	2754.95	2787.16	2725.84	-0.35	-9.54	32593974	64225693018.00	2.23	0.27
2023-02-15	2752.34	2776.01	2780.59	2746.28	-0.89	-24.64	23919067	48613527296.00	1.24	0.20
2023-02-14	2776.98	2770.24	2776.98	2760.59	0.33	9.19	22294840	49531533948.00	0.59	0.18
2023-02-13	2767.79	2739.72	2772.05	2733.21	0.77	21.07	30104364	63989468953.00	1.41	0.25
2023-02-10	2746.72	2757.53	2757.53	2738.61	-0.55	-15.15	18510167	40747626268.00	0.69	0.15
2023-02-09	2761.87	2725.20	2765.62	2723.56	1.12	30.62	19825081	48791468328.00	1.54	0.16
2023-02-08	2731.25	2744.49	2758.04	2727.77	-0.34	-9.19	20115261	38028487516.00	1.10	0.16
2023-02-07	2740.44	2744.70	2752.79	2730.83	0.20	5.44	20708210	42790863179.00	0.80	0.17
2023-02-06	2735.00	2744.70	2744.70	2716.73	-1.43	-39.80	26304300	59654757748.00	1.01	0.21
2023-02-03	2774.80	2795.11	2795.11	2753.06	-1.32	-37.05	31007460	65413067444.00	1.50	0.25
2023-02-02	2811.85	2828.53	2828.53	2798.35	-0.32	-9.02	34064475	70794092706.00	1.07	0.28
2023-02-01	2820.87	2819.18	2820.87	2780.89	0.46	12.92	37555987	71988315699.00	1.42	0.31
2023-01-31	2807.95	2842.52	2853.90	2804.98	-1.10	-31.17	30032900	67183034548.00	1.72	0.24
2023-01-30	2839.12	2895.35	2895.35	2835.65	0.08	2.31	42026518	91628151042.00	2.10	0.34
2023-01-20	2836.81	2831.68	2847.31	2822.69	0.57	16.00	34410546	64327252941.00	0.87	0.28
2023-01-19	2820.81	2807.56	2823.11	2786.08	0.38	10.72	23936652	56070795481.00	1.32	0.20
2023-01-18	2810.09	2829.79	2838.83	2807.55	-0.60	-16.94	20562468	46976558790.00	1.11	0.17
2023-01-17	2827.03	2833.74	2837.59	2813.72	-0.26	-7.26	24969526	58394050935.00	0.84	0.20
2023-01-16	2834.29	2789.87	2864.88	2787.95	1.68	46.93	39276584	93451912969.00	2.76	0.32
2023-01-13	2787.36	2751.58	2787.36	2747.36	1.66	45.41	24652015	56444142488.00	1.46	0.20
2023-01-12	2741.95	2749.69	2752.12	2732.83	0.06	1.76	22257903	47888079187.00	0.70	0.18
2023-01-11	2740.19	2739.94	2760.10	2733.43	0.24	6.57	24748045	54746699631.00	0.98	0.20
2023-01-10	2733.62	2742.70	2748.64	2731.82	-0.31	-8.58	24212915	55251392672.00	0.61	0.20
2023-01-09	2742.20	2731.00	2747.61	2722.15	1.05	28.57	29682897	61358496788.00	0.94	0.24
2023-01-06	2713.63	2704.24	2721.93	2698.91	0.49	13.32	28367259	61190293595.00	0.85	0.23
2023-01-05	2700.31	2670.46	2705.74	2668.15	1.86	49.30	27714894	65754233548.00	1.42	0.23
