时间	收盘价	开盘价	最高价	最低价	涨跌幅	涨跌额	成交量	成交额	振幅	换手率
2023-05-30	3837.75	3827.79	3844.01	3789.27	0.10	3.81	137619629	244566265534.90	1.43	0.47
2023-05-29	3833.94	3862.08	3866.72	3819.18	-0.44	-17.01	131859967	230095604813.40	1.23	0.45
2023-05-26	3850.95	3848.42	3859.63	3815.57	0.01	0.45	100326439	191537814872.50	1.14	0.34
2023-05-25	3850.50	3851.41	3861.38	3817.84	-0.22	-8.59	124150770	213313620055.30	1.13	0.42
2023-05-24	3859.09	3903.78	3903.78	3859.09	-1.38	-54.10	137258265	211768410520.20	1.14	0.47
2023-05-23	3913.19	3968.23	3971.94	3913.19	-1.41	-56.14	118685077	189955815340.00	1.48	0.41
2023-05-22	3969.33	3941.00	3985.40	3935.80	0.63	24.79	109116605	202185550245.90	1.26	0.37
2023-05-19	3944.54	3946.22	3967.28	3928.32	-0.29	-11.53	120212479	207094944781.30	0.98	0.41
2023-05-18	3956.07	3965.52	3982.72	3939.55	-0.10	-4.10	136533947	229134184412.90	1.09	0.47
2023-05-17	3960.17	3971.70	3982.60	3945.71	-0.45	-18.04	118448185	205195685976.40	0.93	0.40
2023-05-16	3978.21	4002.52	4005.02	3966.99	-0.52	-20.68	136833271	234840652671.00	0.95	0.47
2023-05-15	3998.89	3938.83	3998.89	3923.03	1.55	61.13	176257362	279531163508.40	1.93	0.60
2023-05-12	3937.76	3987.77	3999.38	3937.53	-1.33	-52.90	144421728	228992923388.10	1.55	0.49
2023-05-11	3990.66	4005.78	4018.06	3988.48	-0.16	-6.21	144804619	241052071431.60	0.74	0.49
2023-05-10	3996.87	4017.94	4019.06	3984.63	-0.77	-31.01	207552709	309484851741.10	0.85	0.71
2023-05-09	4027.88	4065.44	4092.85	4026.39	-0.86	-34.78	279306048	396422120420.60	1.64	0.95
2023-05-08	4062.66	4028.11	4070.77	4018.96	1.14	45.78	255583085	359539954170.10	1.29	0.87
2023-05-05	4016.88	4031.09	4047.60	3998.39	-0.33	-13.37	206626924	307694489937.00	1.22	0.71
2023-05-04	4030.25	4013.47	4035.78	4001.13	0.03	1.16	227582846	345492506049.30	0.86	0.78
2023-04-28	4029.09	3993.26	4030.45	3993.26	1.02	40.67	179508488	328936294025.20	0.93	0.61
2023-04-27	3988.42	3948.03	3999.13	3942.82	0.74	29.19	153828195	304804002557.40	1.42	0.53
2023-04-26	3959.23	3950.26	3975.66	3934.66	-0.09	-3.44	162702006	322062811333.50	1.03	0.56
2023-04-25	3962.67	3985.11	3991.69	3925.44	-0.50	-19.97	172555409	331110619767.70	1.66	0.59
2023-04-24	3982.64	4031.30	4033.64	3967.91	-1.24	-49.93	170099217	328375614674.30	1.63	0.58
2023-04-21	4032.57	4114.26	4114.26	4031.91	-1.96	-80.45	180802435	347852011602.50	2.00	0.62
2023-04-20	4113.02	4122.95	4125.82	4094.00	-0.28	-11.54	162706677	332172409512.00	0.77	0.56
2023-04-19	4124.56	4159.39	4159.39	4118.63	-0.90	-37.47	162554592	312219504522.60	0.98	0.56
2023-04-18	4162.03	4139.31	4169.67	4138.46	0.30	12.65	170184130	331545662315.60	0.75	0.58
2023-04-17	4149.38	4090.07	4149.38	4089.51	1.40	57.38	188773095	341831272792.70	1.46	0.64
2023-04-14	4092.00	4078.97	4098.22	4075.20	0.57	23.02	150695682	306201501438.70	0.57	0.51
2023-04-13	4068.98	4081.39	4088.88	4059.57	-0.69	-28.31	156444295	300291020752.90	0.72	0.53
2023-04-12	4097.29	4102.40	4108.25	4090.28	-0.07	-2.86	165965278	325425226403.20	0.44	0.57
2023-04-11	4100.15	4108.51	4116.12	4083.49	-0.11	-4.66	153901333	324192951998.70	0.79	0.53
2023-04-10	4104.81	4132.01	4132.30	4099.05	-0.45	-18.47	152453002	340822557207.60	0.81	0.52
2023-04-07	4123.28	4096.90	4131.31	4092.18	0.65	26.64	128676738	286567771883.10	0.96	0.44
2023-04-06	4096.64	4084.13	4098.83	4078.40	-0.16	-6.47	150703374	328981851588.30	0.50	0.51
2023-04-04	4103.11	4089.29	4103.16	4080.07	0.31	12.54	197146631	394443175146.20	0.56	0.67
2023-04-03	4090.57	4059.62	4094.94	4059.06	0.98	39.64	182124313	382895558426.00	0.89	0.62
2023-03-31	4050.93	4045.45	4063.57	4039.96	0.31	12.40	138842546	279863685781.00	0.58	0.47
2023-03-30	4038.53	4009.56	4040.50	3983.90	0.81	32.39	149901037	280004715991.00	1.41	0.51
2023-03-29	4006.14	4013.59	4017.76	3992.67	0.17	6.63	133743510	263866922733.10	0.63	0.46
2023-03-28	3999.51	4015.70	4023.78	3994.60	-0.32	-12.97	131895117	248736920971.80	0.73	0.45
2023-03-27	4012.48	4023.30	4023.30	3987.03	-0.36	-14.57	168482279	315474696948.00	0.90	0.58
2023-03-24	4027.05	4035.16	4037.84	4017.00	-0.30	-12.04	159442330	295785588943.10	0.52	0.54
2023-03-23	4039.09	3985.99	4039.09	3984.00	0.99	39.65	158887421	296479529467.00	1.38	0.54
2023-03-22	3999.44	3993.78	4016.45	3986.71	0.43	17.06	149228970	265180992104.10	0.75	0.51
2023-03-21	3982.38	3948.16	3982.70	3948.16	1.10	43.30	145090679	251631985016.90	0.88	0.50
2023-03-20	3939.08	3962.66	3979.55	3935.02	-0.50	-19.74	205264970	319760032638.00	1.12	0.70
2023-03-17	3958.82	3971.16	4004.22	3945.25	0.50	19.67	177433818	305541015556.10	1.50	0.61
